AGI,symbol,FASTA header
AT2G19960,AT2G19960,hAT family dimerisation domain [Source:TAIR;Acc:AT2G19960]
AT2G19970,AT2G19970,At2g19970 [Source:UniProtKB/TrEMBL;Acc:Q9SL83]
AT2G19980,AT2G19980,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SL82]"
AT2G20010,AT2G20010,Gls protein (DUF810) [Source:UniProtKB/TrEMBL;Acc:Q9SL80]
AT2G20050,AT2G20050,Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein [Source:UniProtKB/Swiss-Prot;Acc:Q9SL76]
AT2G20060,AT2G20060,50S ribosomal protein L4 [Source:UniProtKB/TrEMBL;Acc:Q8VY61]
AT2G20070,AT2G20070,Defensin-like protein 78 [Source:UniProtKB/Swiss-Prot;Acc:Q9SL74]
AT2G20100,AT2G20100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:TAIR;Acc:AT2G20100]
AT2G20110,AT2G20110,Tesmin/TSO1-like CXC domain-containing protein [Source:TAIR;Acc:AT2G20110]
AT2G20142,AT2G20142,Toll-Interleukin-Resistance (TIR) domain family protein [Source:UniProtKB/TrEMBL;Acc:F4IUF0]
AT2G20150,AT2G20150,Uncharacterized protein At2g20150/T2G17.5 [Source:UniProtKB/TrEMBL;Acc:Q84X45]
AT2G20170,AT2G20170,"NEP-interacting protein, putative (DUF239) [Source:UniProtKB/TrEMBL;Acc:Q9SL64]"
AT2G20210,AT2G20210,RNI-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IUG1]
AT2G20250,AT2G20250,unknown protein; Has 10 Blast hits to 10 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 8; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT2G20250]
AT2G20270,AT2G20270,Thioredoxin superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IUG7]
AT2G20280,AT2G20280,Zinc finger CCCH domain-containing protein 21 [Source:UniProtKB/Swiss-Prot;Acc:Q9SK74]
AT2G20320,AT2G20320,DENN (AEX-3) domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4IUH2]
AT2G20330,AT2G20330,At2g20330/F11A3.12 [Source:UniProtKB/TrEMBL;Acc:Q9SK69]
AT2G20360,AT2G20360,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SK66]"
AT2G20362,AT2G20362,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q1G3C1]
AT2G20380,AT2G20380,F-box protein At2g20380 [Source:UniProtKB/Swiss-Prot;Acc:Q9SK64]
AT2G20390,AT2G20390,Cytochrome oxidase complex assembly protein [Source:UniProtKB/TrEMBL;Acc:Q9SK63]
AT2G20400,AT2G20400,myb-like HTH transcriptional regulator family protein [Source:TAIR;Acc:AT2G20400]
AT2G20410,AT2G20410,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SK61]
AT2G20420,AT2G20420,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O82662]"
AT2G20440,AT2G20440,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IVD6]
AT2G20463,AT2G20463,Putative defensin-like protein 104 [Source:UniProtKB/Swiss-Prot;Acc:Q2V476]
AT2G20465,AT2G20465,Defensin-like protein 103 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXR4]
AT2G20470,AT2G20470,Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:Q1PF34]
AT2G20480,AT2G20480,Uncharacterized protein At2g20480 [Source:UniProtKB/TrEMBL;Acc:Q9SIM1]
AT2G20495,AT2G20495,CONTAINS InterPro DOMAIN/s: Serine-threonine protein kinase 19 (InterPro:IPR018865); Has 155 Blast hits to 154 proteins in 53 species: Archae - 0; Bacteria - 0; Metazoa - 95; Fungi - 5; Plants - 34; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink). [Source:TAIR;Acc:AT2G20495]
AT2G20500,AT2G20500,Uncharacterized protein At2g20500 [Source:UniProtKB/TrEMBL;Acc:Q9SIL9]
AT2G20515,AT2G20515,At2g20515 [Source:UniProtKB/TrEMBL;Acc:Q8S8D0]
AT2G20550,AT2G20550,At2g20550 [Source:UniProtKB/TrEMBL;Acc:Q9SIL4]
AT2G20560,AT2G20560,At2g20560/T13C7.15 [Source:UniProtKB/TrEMBL;Acc:Q9SIL3]
AT2G20562,AT2G20562,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q1G309]
AT2G20595,AT2G20595,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q8S8D5]
AT2G20597,AT2G20597,Plant thionin family protein [Source:UniProtKB/TrEMBL;Acc:A8MS59]
AT2G20605,AT2G20605,Plant thionin family protein [Source:TAIR;Acc:AT2G20605]
AT2G20613,AT2G20613,Probable transcription factor At2g20613 [Source:UniProtKB/Swiss-Prot;Acc:Q8S8D6]
AT2G20616,AT2G20616,Family of unknown function (DUF566) [Source:TAIR;Acc:AT2G20616]
AT2G20618,AT2G20618,Plant thionin family protein [Source:TAIR;Acc:AT2G20618]
AT2G20619,AT2G20619,Plant thionin family protein [Source:UniProtKB/TrEMBL;Acc:A8MS38]
AT2G20620,AT2G20620,UPF0725 protein At2g20620 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIU9]
AT2G20625,AT2G20625,UPF0725 protein At2g20625 [Source:UniProtKB/Swiss-Prot;Acc:Q8S8D8]
AT2G20670,AT2G20670,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SIU5]
AT2G20690,AT2G20690,At2g20690/F5H14.34 [Source:UniProtKB/TrEMBL;Acc:Q9SKU8]
AT2G20710,AT2G20710,"Pentatricopeptide repeat-containing protein At2g20710, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SKU6]"
AT2G20720,AT2G20720,At2g20720 [Source:UniProtKB/TrEMBL;Acc:Q8L705]
AT2G20721,AT2G20721,snoRNA [Source:TAIR;Acc:AT2G20721]
AT2G20722,AT2G20722,snoRNA [Source:TAIR;Acc:AT2G20722]
AT2G20723,AT2G20723,snoRNA [Source:TAIR;Acc:AT2G20723]
AT2G20725,AT2G20725,CAAX amino terminal protease family protein [Source:UniProtKB/TrEMBL;Acc:Q94K61]
AT2G20760,AT2G20760,Clathrin light chain 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKU1]
AT2G20784,AT2G20784,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G20784]
AT2G20805,AT2G20805,DNA-binding storekeeper protein transcriptional regulator-like protein [Source:UniProtKB/TrEMBL;Acc:Q1PF30]
AT2G20820,AT2G20820,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SKT5]
AT2G20830,AT2G20830,Folic acid binding / transferase [Source:UniProtKB/TrEMBL;Acc:F4IFK0]
AT2G20835,AT2G20835,At2g20835 [Source:UniProtKB/TrEMBL;Acc:Q8S8I3]
AT2G20870,AT2G20870,At2g20870 [Source:UniProtKB/TrEMBL;Acc:A6QRC7]
AT2G20920,AT2G20920,At2g20920/F5H14.11 [Source:UniProtKB/TrEMBL;Acc:Q9SKS8]
AT2G20921,AT2G20921,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G20921]
AT2G20930,AT2G20930,AT2G20930 protein [Source:UniProtKB/TrEMBL;Acc:Q9SKS7]
AT2G20940,AT2G20940,At2g20940 [Source:UniProtKB/TrEMBL;Acc:Q9SKR7]
AT2G20950,AT2G20950,Arabidopsis phospholipase-like protein (PEARLI 4) family [Source:TAIR;Acc:AT2G20950]
AT2G20970,AT2G20970,unknown protein; Has 204 Blast hits to 188 proteins in 80 species: Archae - 7; Bacteria - 37; Metazoa - 56; Fungi - 18; Plants - 9; Viruses - 2; Other Eukaryotes - 75 (source: NCBI BLink). [Source:TAIR;Acc:AT2G20970]
AT2G21010,AT2G21010,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:UniProtKB/TrEMBL;Acc:F4IFM9]
AT2G21030,AT2G21030,CONTAINS InterPro DOMAIN/s: Disease resistance/zinc finger/chromosome condensation-like region (InterPro:IPR013591); BEST Arabidopsis thaliana protein match is: DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containi /.../tein (TAIR:AT1G31880.1); Has 250 Blast hits to 250 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 250; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT2G21030]
AT2G21040,AT2G21040,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:UniProtKB/TrEMBL;Acc:Q9SKQ7]
AT2G21080,AT2G21080,At2g21080 [Source:UniProtKB/TrEMBL;Acc:Q8L726]
AT2G21120,AT2G21120,Probable magnesium transporter [Source:UniProtKB/TrEMBL;Acc:A0A178W254]
AT2G21160,AT2G21160,Translocon-associated protein subunit alpha [Source:UniProtKB/Swiss-Prot;Acc:P45434]
AT2G21180,AT2G21180,At2g21180/F26H11.6 [Source:UniProtKB/TrEMBL;Acc:Q9SKP5]
AT2G21185,AT2G21185,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q8S8H4]
AT2G21187,AT2G21187,other RNA [Source:TAIR;Acc:AT2G21187]
AT2G21188,AT2G21188,other RNA [Source:TAIR;Acc:AT2G21188]
AT2G21190,AT2G21190,ER lumen protein retaining receptor family protein [Source:UniProtKB/TrEMBL;Acc:Q9SKP4]
AT2G21195,AT2G21195,unknown protein; Has 28 Blast hits to 28 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT2G21195]
AT2G21200,AT2G21200,At2g21200 [Source:UniProtKB/TrEMBL;Acc:Q9SKP3]
AT2G21210,AT2G21210,SAUR-like auxin-responsive protein family [Source:TAIR;Acc:AT2G21210]
AT2G21220,AT2G21220,Putative auxin-regulated protein [Source:UniProtKB/TrEMBL;Acc:Q9SIG9]
AT2G21230,AT2G21230,Basic-leucine zipper (BZIP) transcription factor family protein [Source:UniProtKB/TrEMBL;Acc:B3H7M2]
AT2G21235,AT2G21235,Basic-leucine zipper (BZIP) transcription factor family protein [Source:UniProtKB/TrEMBL;Acc:F4IGK0]
AT2G21237,AT2G21237,At2g21237 [Source:UniProtKB/TrEMBL;Acc:Q8L8K9]
AT2G21250,AT2G21250,NAD(P)-linked oxidoreductase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SJV2]
AT2G21260,AT2G21260,At2g21260 [Source:UniProtKB/TrEMBL;Acc:Q9SJV1]
AT2G21290,AT2G21290,"30S ribosomal protein S31, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SJU8]"
AT2G21350,AT2G21350,RNA-binding CRS1 / YhbY (CRM) domain protein [Source:UniProtKB/TrEMBL;Acc:F4IGM0]
AT2G21360,AT2G21360,pre-tRNA [Source:TAIR;Acc:AT2G21360]
AT2G21385,AT2G21385,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q94AU3]
AT2G21390,AT2G21390,Coatomer subunit alpha-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJT9]
AT2G21420,AT2G21420,RBR-type E3 ubiquitin transferase [Source:UniProtKB/TrEMBL;Acc:Q9SJT6]
AT2G21440,AT2G21440,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SJT4]
AT2G21465,AT2G21465,Defensin-like protein 291 [Source:UniProtKB/Swiss-Prot;Acc:Q2V472]
AT2G21480,AT2G21480,Probable receptor-like protein kinase At2g21480 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJT0]
AT2G21500,AT2G21500,At2g21560 [Source:UniProtKB/TrEMBL;Acc:Q8RWF9]
AT2G21510,AT2G21510,DNAJ heat shock N-terminal domain-containing protein [Source:TAIR;Acc:AT2G21510]
AT2G21520,AT2G21520,Sec14p-like phosphatidylinositol transfer family protein [Source:UniProtKB/TrEMBL;Acc:B3H588]
AT2G21530,AT2G21530,At2g21530 [Source:UniProtKB/TrEMBL;Acc:Q8GWP4]
AT2G21550,AT2G21550,Bifunctional dihydrofolate reductase-thymidylate synthase [Source:UniProtKB/TrEMBL;Acc:Q9SIK4]
AT2G21560,AT2G21560,Nucleolar-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SIK3]
AT2G21570,AT2G21570,pre-tRNA [Source:TAIR;Acc:AT2G21570]
AT2G21630,AT2G21630,At2g21630 [Source:UniProtKB/TrEMBL;Acc:Q9SIJ7]
AT2G21640,AT2G21640,Marker for oxidative stress response protein [Source:UniProtKB/TrEMBL;Acc:Q9SIJ6]
AT2G21655,AT2G21655,At2g21655 [Source:UniProtKB/TrEMBL;Acc:Q8S8C9]
AT2G21670,AT2G21670,pre-tRNA [Source:TAIR;Acc:AT2G21670]
AT2G21680,AT2G21680,Putative F-box/kelch-repeat protein At2g21680 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIJ3]
AT2G21690,AT2G21690,Putative glycine-rich RNA binding protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ28]
AT2G21700,AT2G21700,pre-tRNA [Source:TAIR;Acc:AT2G21700]
AT2G21720,AT2G21720,Plant protein of unknown function (DUF639) [Source:TAIR;Acc:AT2G21720]
AT2G21725,AT2G21725,Putative defensin-like protein 79 [Source:UniProtKB/Swiss-Prot;Acc:Q2V470]
AT2G21727,AT2G21727,ECA1 gametogenesis family protein (DUF784) [Source:UniProtKB/TrEMBL;Acc:A8MQ83]
AT2G21780,AT2G21780,At2g21780 [Source:UniProtKB/TrEMBL;Acc:Q9SJ21]
AT2G21810,AT2G21810,Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ18]
AT2G21820,AT2G21820,At2g21820 [Source:UniProtKB/TrEMBL;Acc:Q9SJ17]
AT2G21830,AT2G21830,Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ16]
AT2G21840,AT2G21840,Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:Q0WPH4]
AT2G21850,AT2G21850,Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:F4III1]
AT2G21860,AT2G21860,At2g21860/F7D8.18 [Source:UniProtKB/TrEMBL;Acc:Q9SJ13]
AT2G21920,AT2G21920,Putative B3 domain-containing protein At2g21920 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ07]
AT2G21930,AT2G21930,F-box protein At2g21930 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ06]
AT2G21960,AT2G21960,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ03]
AT2G21980,AT2G21980,HAUS augmin-like complex subunit [Source:UniProtKB/TrEMBL;Acc:Q9SJ01]
AT2G21990,AT2G21990,Uncharacterized protein At2g21990 [Source:UniProtKB/TrEMBL;Acc:Q9SJ00]
AT2G22030,AT2G22030,F-box/kelch-repeat protein At2g22030 [Source:UniProtKB/Swiss-Prot;Acc:Q9SI02]
AT2G22050,AT2G22050,F-box/kelch-repeat protein At2g22050 [Source:UniProtKB/Swiss-Prot;Acc:Q1PF20]
AT2G22060,AT2G22060,Galactose oxidase/kelch repeat protein [Source:UniProtKB/TrEMBL;Acc:Q9SHZ9]
AT2G22080,AT2G22080,At2g22080 [Source:UniProtKB/TrEMBL;Acc:Q7XA71]
AT2G22088,AT2G22088,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 160 Blast hits to 33 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 17; Fungi - 0; Plants -  /.../iruses - 0; Other Eukaryotes - 19 (source: NCBI BLink). [Source:TAIR;Acc:AT2G22088]
AT2G22110,AT2G22110,pre-tRNA [Source:TAIR;Acc:AT2G22110]
AT2G22120,AT2G22120,RING/FYVE/PHD zinc finger superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IIL7]
AT2G22122,AT2G22122,At2g22122 [Source:UniProtKB/TrEMBL;Acc:Q8LF43]
AT2G22145,AT2G22145,ECA1 gametogenesis related family protein [Source:UniProtKB/TrEMBL;Acc:A8MRJ4]
AT2G22155,AT2G22155,Encodes a ECA1 gametogenesis related family protein [Source:TAIR;Acc:AT2G22155]
AT2G22160,AT2G22160,Cysteine proteinases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SIE8]
AT2G22180,AT2G22180,Hydroxyproline-rich glycoprotein family protein [Source:UniProtKB/TrEMBL;Acc:Q9SIE6]
AT2G22220,AT2G22220,pre-tRNA [Source:TAIR;Acc:AT2G22220]
AT2G22230,AT2G22230,At2g22230/T26C19.11 [Source:UniProtKB/TrEMBL;Acc:Q9SIE3]
AT2G22241,AT2G22241,unknown protein; LOCATED IN: mitochondrion; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G22241]
AT2G22270,AT2G22270,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SID9]
AT2G22280,AT2G22280,pre-tRNA [Source:TAIR;Acc:AT2G22280]
AT2G22320,AT2G22320,Uncharacterized protein At2g22320 [Source:UniProtKB/TrEMBL;Acc:Q9SID6]
AT2G22340,AT2G22340,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q9SJZ9]
AT2G22345,AT2G22345,Putative defensin-like protein 72 [Source:UniProtKB/Swiss-Prot;Acc:Q2V2S9]
AT2G22380,AT2G22380,pre-tRNA [Source:TAIR;Acc:AT2G22380]
AT2G22400,AT2G22400,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q8L601]
AT2G22425,AT2G22425,Probable signal peptidase complex subunit 1 [Source:UniProtKB/Swiss-Prot;Acc:Q944J0]
AT2G22426,AT2G22426,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G22426]
AT2G22440,AT2G22440,Non-LTR retroelement reverse transcriptase [Source:UniProtKB/TrEMBL;Acc:Q9SJZ0]
AT2G22460,AT2G22460,Uncharacterized protein At2g22460/F14M13.14 [Source:UniProtKB/TrEMBL;Acc:Q84RJ3]
AT2G22482,AT2G22482,None
AT2G22510,AT2G22510,At2g22510 [Source:UniProtKB/TrEMBL;Acc:Q9SJY4]
AT2G22520,AT2G22520,Uncharacterized protein At2g22520 [Source:UniProtKB/TrEMBL;Acc:Q9SJY3]
AT2G22530,AT2G22530,Alkaline-phosphatase-like family protein [Source:UniProtKB/TrEMBL;Acc:F4IJJ8]
AT2G22580,AT2G22580,pre-tRNA [Source:TAIR;Acc:AT2G22580]
AT2G22600,AT2G22600,RNA-binding KH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4IJK5]
AT2G22610,AT2G22610,Di-glucose binding protein with Kinesin motor domain [Source:TAIR;Acc:AT2G22610]
AT2G22620,AT2G22620,Rhamnogalacturonate lyase family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZQ51]
AT2G22650,AT2G22650,FAD-dependent oxidoreductase family protein [Source:UniProtKB/TrEMBL;Acc:Q5S4X7]
AT2G22690,AT2G22690,At2g22690 [Source:UniProtKB/TrEMBL;Acc:Q9ZQ45]
AT2G22720,AT2G22720,SPT2 chromatin protein [Source:UniProtKB/TrEMBL;Acc:F4IKF3]
AT2G22730,AT2G22730,Major facilitator superfamily protein [Source:TAIR;Acc:AT2G22730]
AT2G22750,AT2G22750,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:TAIR;Acc:AT2G22750]
AT2G22790,AT2G22790,Uncharacterized protein At2g22790 [Source:UniProtKB/TrEMBL;Acc:O82400]
AT2G22795,AT2G22795,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G37820.1); Has 799854 Blast hits to 188815 proteins in 4452 species: Archae - 4529; Bacteria - 144236; Metazoa - 287749; Fungi - 87083; Plants - 43826; Viruses - 3 /.../ther Eukaryotes - 228769 (source: NCBI BLink). [Source:TAIR;Acc:AT2G22795]
AT2G22805,AT2G22805,Putative defensin-like protein 189 [Source:UniProtKB/Swiss-Prot;Acc:Q2V468]
AT2G22807,AT2G22807,Putative defensin-like protein 190 [Source:UniProtKB/Swiss-Prot;Acc:Q2V467]
AT2G22820,AT2G22820,At2g22820 [Source:UniProtKB/TrEMBL;Acc:O82813]
AT2G22821,AT2G22821,other RNA [Source:TAIR;Acc:AT2G22821]
AT2G22880,AT2G22880,At2g22880 [Source:UniProtKB/TrEMBL;Acc:O81005]
AT2G22905,AT2G22905,At2g22905 [Source:UniProtKB/TrEMBL;Acc:Q3EBW2]
AT2G22940,AT2G22940,Uncharacterized protein At2g22940 [Source:UniProtKB/TrEMBL;Acc:O81011]
AT2G22941,AT2G22941,Defensin-like (DEFL) family protein [Source:TAIR;Acc:AT2G22941]
AT2G22942,AT2G22942,Growth factor [Source:UniProtKB/TrEMBL;Acc:B3H4C2]
AT2G22955,AT2G22955,other RNA [Source:TAIR;Acc:AT2G22955]
AT2G22960,AT2G22960,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT2G22960]
AT2G23020,AT2G23020,pre-tRNA [Source:TAIR;Acc:AT2G23020]
AT2G23040,AT2G23040,unknown protein; Has 8 Blast hits to 8 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 8; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT2G23040]
AT2G23060,AT2G23060,Probable N-acetyltransferase HLS1-like [Source:UniProtKB/Swiss-Prot;Acc:O64815]
AT2G23067,AT2G23067,Putative membrane lipoprotein [Source:UniProtKB/TrEMBL;Acc:B3H7D9]
AT2G23090,AT2G23090,Uncharacterized protein At2g23090 [Source:UniProtKB/Swiss-Prot;Acc:O64818]
AT2G23093,AT2G23093,Major facilitator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q8GXH4]
AT2G23100,AT2G23100,Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:F4ILF9]
AT2G23110,AT2G23110,At2g23110 [Source:UniProtKB/TrEMBL;Acc:O64820]
AT2G23118,AT2G23118,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G23118]
AT2G23120,AT2G23120,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q8S8R1]
AT2G23160,AT2G23160,F-box protein At2g23160 [Source:UniProtKB/Swiss-Prot;Acc:Q1KS79]
AT2G23200,AT2G23200,Probable receptor-like protein kinase At2g23200 [Source:UniProtKB/Swiss-Prot;Acc:O22187]
AT2G23210,AT2G23210,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q1PF14]
AT2G23230,AT2G23230,Terpenoid cyclases/Protein prenyltransferases superfamily protein [Source:TAIR;Acc:AT2G23230]
AT2G23270,AT2G23270,At2g23270 [Source:UniProtKB/TrEMBL;Acc:O22181]
AT2G23300,AT2G23300,Leucine-rich repeat protein kinase family protein [Source:UniProtKB/TrEMBL;Acc:O22178]
AT2G23321,AT2G23321,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G23321]
AT2G23348,AT2G23348,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 3 Blast hits to 3 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - /.../her Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT2G23348]
AT2G23370,AT2G23370,Cyclin delta-3 [Source:UniProtKB/TrEMBL;Acc:Q8RWU1]
AT2G23390,AT2G23390,Acyl-CoA [Source:UniProtKB/TrEMBL;Acc:O80456]
AT2G23400,AT2G23400,Undecaprenyl pyrophosphate synthetase family protein [Source:TAIR;Acc:AT2G23400]
AT2G23520,AT2G23520,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IMJ8]
AT2G23530,AT2G23530,Zinc-finger domain of monoamine-oxidase A repressor R1 [Source:UniProtKB/TrEMBL;Acc:Q1PF11]
AT2G23540,AT2G23540,GDSL esterase/lipase At2g23540 [Source:UniProtKB/Swiss-Prot;Acc:O80470]
AT2G23650,AT2G23650,pre-tRNA [Source:TAIR;Acc:AT2G23650]
AT2G23672,AT2G23672,other RNA [Source:TAIR;Acc:AT2G23672]
AT2G23680,AT2G23680,Cold-regulated 413 plasma membrane protein 3 [Source:UniProtKB/Swiss-Prot;Acc:O64834]
AT2G23690,AT2G23690,HTH-type transcriptional regulator [Source:UniProtKB/TrEMBL;Acc:Q680G2]
AT2G23700,AT2G23700,Uncharacterized protein At2g23700 [Source:UniProtKB/TrEMBL;Acc:O64832]
AT2G23755,AT2G23755,Transmembrane family 220 helix protein [Source:UniProtKB/TrEMBL;Acc:Q84RE5]
AT2G23780,AT2G23780,Putative RING zinc finger protein [Source:UniProtKB/TrEMBL;Acc:O64824]
AT2G23790,AT2G23790,"Calcium uniporter protein 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O64823]"
AT2G23820,AT2G23820,At2g23820 [Source:UniProtKB/TrEMBL;Acc:Q6DBH4]
AT2G23834,AT2G23834,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - /.../ Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT2G23834]
AT2G23840,AT2G23840,At2g23840 [Source:UniProtKB/TrEMBL;Acc:Q6NMJ9]
AT2G23890,AT2G23890,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase [Source:TAIR;Acc:AT2G23890]"
AT2G23900,AT2G23900,Glycoside hydrolase family 28 protein/polygalacturonase family protein [Source:UniProtKB/TrEMBL;Acc:Q1PF10]
AT2G23910,AT2G23910,At2g23910 [Source:UniProtKB/TrEMBL;Acc:O82219]
AT2G23940,AT2G23940,Expressed protein [Source:UniProtKB/TrEMBL;Acc:O82222]
AT2G23945,AT2G23945,Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:Q8S8N7]
AT2G23950,AT2G23950,Probable LRR receptor-like serine/threonine-protein kinase At2g23950 [Source:UniProtKB/Swiss-Prot;Acc:Q0WVM4]
